<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AUDUSD;D;231204;000000;0.6681800;0.6688100;0.6604000;0.6616300;1202655
AUDUSD;D;231205;000000;0.6616700;0.6621600;0.6543400;0.6553800;1310181
AUDUSD;D;231206;000000;0.6554100;0.6597200;0.6545500;0.6551000;1102389
AUDUSD;D;231207;000000;0.6551000;0.6620100;0.6524600;0.6593700;1242633
AUDUSD;D;231208;000000;0.6593500;0.6619500;0.6557200;0.6577000;1286628
