<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
USDCNY;D;231204;000000;7.1503000;7.1556000;7.1400000;7.1435000
USDCNY;D;231205;000000;7.1474000;7.1629000;7.1432000;7.1548000
USDCNY;D;231206;000000;7.1640000;7.1799000;7.1562000;7.1720000
USDCNY;D;231207;000000;7.1688000;7.1764000;7.1523000;7.1673000
USDCNY;D;231208;000000;7.1721000;7.1831000;7.1620000;7.1760000
