<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDHUF;D;231204;000000;347.8600000;351.9670000;347.3700000;350.2200000;522635
USDHUF;D;231205;000000;350.1320000;352.2430000;349.3500000;351.4500000;637677
USDHUF;D;231206;000000;351.4300000;353.7050000;350.6600000;352.7800000;637834
USDHUF;D;231207;000000;352.8150000;354.7080000;352.1430000;353.5680000;468037
USDHUF;D;231208;000000;353.6170000;355.2790000;352.5100000;354.0000000;554840
