<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;231204;000000;90.5500000;91.6348000;89.6250000;91.5165000;6040
USDRUB;D;231205;000000;91.7036000;92.6332000;90.1830000;92.5939000;13410
USDRUB;D;231206;000000;92.5947000;93.3260000;90.1830000;92.9162000;6164
USDRUB;D;231207;000000;92.8908000;93.5300000;91.4000000;92.3760000;7018
USDRUB;D;231208;000000;93.0594000;93.0594000;90.0500000;91.8260000;7593
