<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;D;231204;000000;98.5580000;99.2800000;98.0840000;99.0220000;197
EURRUB;D;231205;000000;99.0280000;100.1140000;98.3930000;99.9320000;199
EURRUB;D;231206;000000;99.7720000;100.6550000;99.2210000;99.9360000;172
EURRUB;D;231207;000000;99.9130000;100.6740000;99.0920000;99.6980000;229
EURRUB;D;231208;000000;99.7850000;99.7900000;97.7830000;99.1710000;203
