<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDTRY;D;231204;000000;28.8964500;28.9451000;28.7610000;28.9054000;308234
USDTRY;D;231205;000000;28.9197000;28.9611000;28.7240000;28.8464000;310717
USDTRY;D;231206;000000;28.8885000;28.9461000;28.7520000;28.9024100;263858
USDTRY;D;231207;000000;28.8960000;28.9507000;28.7850000;28.9109800;293081
USDTRY;D;231208;000000;28.9015300;29.0748000;28.8555000;28.8557000;321983
