<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDNOK;D;231204;000000;10.6438000;10.8662000;10.6432800;10.8395000;1449966
USDNOK;D;231205;000000;10.8379500;10.9365400;10.8221000;10.9231500;1996341
USDNOK;D;231206;000000;10.9231400;10.9819000;10.8971000;10.9722400;1372258
USDNOK;D;231207;000000;10.9681500;10.9845500;10.8497000;10.8727100;1524153
USDNOK;D;231208;000000;10.8719000;10.9593800;10.8364000;10.9023000;1372148
