<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCAD;D;231204;000000;1.3489200;1.3562100;1.3483000;1.3539200;1296521
USDCAD;D;231205;000000;1.3539200;1.3595000;1.3532000;1.3591500;1284815
USDCAD;D;231206;000000;1.3591200;1.3596300;1.3545000;1.3591100;1142213
USDCAD;D;231207;000000;1.3591400;1.3619300;1.3579000;1.3596400;1218584
USDCAD;D;231208;000000;1.3596200;1.3609500;1.3546000;1.3580000;1272106
