<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDINR;D;231204;000000;83.2400000;83.4230000;83.1900000;83.4060000;5228
USDINR;D;231205;000000;83.4050000;83.4060000;83.2860000;83.2970000;5322
USDINR;D;231206;000000;83.2670000;83.3825000;83.2540000;83.3070000;5864
USDINR;D;231207;000000;83.2720000;83.3700000;83.2575000;83.3300000;5211
USDINR;D;231208;000000;83.3260000;83.4500000;83.3100000;83.4070000;6691
