<TICKER>;<DATE>;<OPEN>;<CLOSE>
UZSRUB;20210802;0,006872656271299;0,006860407072009
UZSRUB;20210803;0,006851873415344;0,006842989952108
UZSRUB;20210804;0,006853611827874;0,006873720867733
UZSRUB;20210805;0,006889802445908;0,006933421800948
UZSRUB;20210806;0,006892957624388;0,006924032193932
UZSRUB;20210808;0,006924032193932;0,006927509002957
UZSRUB;20210809;0,006913404025843;0,006920813669099
UZSRUB;20210810;0,006930198625624;0,00696216699614
UZSRUB;20210811;0,006947538981777;0,006895669735112
UZSRUB;20210812;0,006889675580454;0,006898910655343
UZSRUB;20210813;0,006891103403019;0,006873441454955
UZSRUB;20210815;0,006859473141464;0,00686211680885
UZSRUB;20210816;0,006854476493725;0,006852406817756
UZSRUB;20210817;0,006875091506335;0,006900516189582
UZSRUB;20210818;0,006911680039371;0,006936653483368
UZSRUB;20210819;0,006937118150202;0,006983334899897
UZSRUB;20210820;0,006991559235909;0,006987390608827
UZSRUB;20210822;0,006991502775948;0,006982704432107
UZSRUB;20210823;0,006976635074655;0,006966104404077
UZSRUB;20210824;0,006965797742414;0,006935156927231
UZSRUB;20210825;0,006939445968004;0,006962990566038
UZSRUB;20210826;0,00693046583673;0,006975709479097
UZSRUB;20210827;0,006979956260683;0,006905396333494
UZSRUB;20210829;0,006913049773688;0,00688292493047
UZSRUB;20210830;0,006896859082793;0,006893985004072
UZSRUB;20210831;0,006892764772947;0,006884566188776
UZSRUB;20210901;0,006885345664705;0,006853199326082
UZSRUB;20210902;0,006852917587794;0,006870094232066
UZSRUB;20210903;0,006903057611723;0,006839929452733
UZSRUB;20210905;0,006839788583589;0,006835412248854
UZSRUB;20210906;0,006823954622164;0,006841580723795
UZSRUB;20210907;0,006832530123866;0,006867913787082
UZSRUB;20210908;0,006861423935687;0,00685378144343
UZSRUB;20210909;0,006861918024773;0,006821235715771
UZSRUB;20210910;0,006830384063156;0,006861913385332
UZSRUB;20210912;0,006863498291771;0,006848943411338
UZSRUB;20210913;0,006862390161967;0,006850490566038
UZSRUB;20210914;0,006820570524736;0,006844887941698
UZSRUB;20210915;0,006836135084428;0,006763693147669
UZSRUB;20210916;0,006780048798799;0,006765349032801
UZSRUB;20210917;0,006781153346834;0,006826975494705
UZSRUB;20210919;0,006821636446404;0,00681947272683
UZSRUB;20210920;0,006808047179326;0,006866571438212
UZSRUB;20210921;0,006876499059139;0,006828238950729
UZSRUB;20210922;0,006827550055695;0,006831902724865
UZSRUB;20210923;0,006837301680243;0,006805270726669
UZSRUB;20210924;0,006810229723394;0,006805438349742
UZSRUB;20210926;0,006817215189873;0,006823356774496
UZSRUB;20210927;0,006836091107049;0,006817340625605
UZSRUB;20210928;0,006807695157836;0,006834925938468
UZSRUB;20210929;0,006828653657101;0,006826020255637
UZSRUB;20210930;0,006815702574458;0,006804455169923
UZSRUB;20211001;0,006805680968587;0,006792440471568
UZSRUB;20211003;0,00680537217961;0,006809227363195
UZSRUB;20211004;0,006808786375971;0,006779077383737
UZSRUB;20211005;0,006794060712137;0,006772707085207
UZSRUB;20211006;0,006766095107582;0,006772965798189
UZSRUB;20211007;0,00678797379346;0,006729170338757
UZSRUB;20211008;0,006724776513203;0,006728112067116
UZSRUB;20211010;0,006736207344028;0,006708304873375
UZSRUB;20211011;0,006723617073694;0,006730633223954
UZSRUB;20211012;0,006738204671232;0,006737604352312
UZSRUB;20211013;0,00672645685321;0,006757708920188
UZSRUB;20211014;0,006729490239859;0,006675222042388
UZSRUB;20211015;0,006663690039727;0,006662412013139
UZSRUB;20211017;0,006662074143595;0,006662609103707
UZSRUB;20211018;0,006634607476636;0,006684319248826
UZSRUB;20211019;0,006656142128942;0,006621109162238
UZSRUB;20211020;0,006621758180328;0,006619795069976
UZSRUB;20211021;0,006627042589639;0,006663434096883
UZSRUB;20211022;0,006640273229157;0,00660179342723
UZSRUB;20211024;0,006601511737089;0,006608629107981
UZSRUB;20211025;0,00655943810163;0,006550248709526
UZSRUB;20211026;0,00652944808232;0,006521165413534
UZSRUB;20211027;0,006496729932913;0,006626585251292
UZSRUB;20211028;0,006618245712679;0,00658287593985
UZSRUB;20211029;0,006559336954486;0,006642358119498
UZSRUB;20211031;0,006635418617719;0,006618243116689
UZSRUB;20211101;0,006623770644687;0,00672282629108
UZSRUB;20211102;0,006700539443785;0,006721642421398
UZSRUB;20211103;0,006688876435976;0,00672544600939
UZSRUB;20211104;0,006708016606081;0,006683853972756
UZSRUB;20211105;0,006692892069618;0,006680647887324
UZSRUB;20211107;0,006672863849765;0,006681765258216
UZSRUB;20211108;0,006649576739257;0,006674296435272
UZSRUB;20211109;0,006664820359281;0,006614006362275
UZSRUB;20211110;0,006621808340726;0,006678987816307
UZSRUB;20211111;0,006653884578397;0,00668239918583
UZSRUB;20211112;0,006672502386492;0,006826903981265
UZSRUB;20211114;0,006849180327869;0,006812121779859
UZSRUB;20211115;0,006764311791026;0,006762990654206
UZSRUB;20211116;0,0067675975902;0,006823138720224
UZSRUB;20211117;0,006804057452635;0,006773470340962
UZSRUB;20211118;0,00675349247367;0,006794473390398
UZSRUB;20211119;0,006785126961563;0,006835735057744
UZSRUB;20211121;0,006827605429662;0,006814941791863
UZSRUB;20211122;0,00683164545054;0,00697644320298
UZSRUB;20211123;0,006969192719209;0,006902187063751
UZSRUB;20211124;0,006909523313866;0,00698590760616
